 , , ,F1,F1,F1,F1,F1,F1,F2,F2,F2,F2,F2,F2,F3,F3,F3,F3,F3,F3,F4,F4,F4,F4,F4,F4
 , , ,D1,D1,D2,D2,D3,D3,D1,D1,D2,D2,D3,D3,D1,D1,D2,D2,D3,D3,D1,D1,D2,D2,D3,D3
 , , ,T5,T10,T5,T10,T5,T10,T5,T10,T5,T10,T5,T10,T5,T10,T5,T10,T5,T10,T5,T10,T5,T10,T5,T10
Tmax75,tau150,Iter7,0.07,0.07,0.01,0.02,0.06,0.27,0.07,0.08,0.01,0.03,0.08,0.31,0.01,0.07,0.01,0.03,0.05,0.23,0.01,0.07,0.01,0.03,0.07,0.17
Tmax75,tau150,Iter8,0.06,0.10,0.07,0.10,0.06,0.25,0.09,0.10,0.01,0.11,0.03,0.15,0.02,0.08,0.01,0.17,0.12,0.37,0.04,0.09,0.01,0.05,0.10,0.12
Tmax75,tau150,Iter9,0.13,0.06,0.02,0.12,0.03,0.13,0.09,0.13,0.02,0.10,0.03,0.04,0.08,0.07,0.01,0.15,0.02,0.04,0.04,0.04,0.01,0.09,0.02,0.03
Tmax150,tau50,Iter0,0.07,0.29,0.00,0.02,0.04,0.52,0.06,0.25,0.01,0.07,0.04,0.75,0.05,0.33,0.00,0.02,0.05,0.67,0.06,0.15,0.01,0.06,0.02,0.50
Tmax150,tau50,Iter1,0.01,0.01,0.01,0.07,0.02,0.06,0.01,0.02,0.01,0.08,0.02,0.04,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.01,0.08,0.01,0.03
Tmax150,tau50,Iter2,0.00,0.01,0.00,0.01,0.01,0.01,0.01,0.02,0.01,0.03,0.01,0.03,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.03,0.01,0.03
Tmax150,tau50,Iter3,0.00,0.01,0.00,0.01,0.01,0.06,0.01,0.06,0.01,0.04,0.01,0.13,0.00,0.01,0.00,0.01,0.01,0.09,0.01,0.07,0.01,0.03,0.01,0.07
Tmax150,tau50,Iter4,0.00,0.10,0.00,0.01,0.01,0.16,0.01,0.06,0.00,0.09,0.01,0.10,0.00,0.01,0.00,0.01,0.01,0.04,0.01,0.08,0.00,0.04,0.01,0.09
Tmax150,tau50,Iter5,0.00,0.01,0.00,0.01,0.01,0.08,0.01,0.09,0.01,0.03,0.01,0.19,0.00,0.01,0.00,0.01,0.01,0.05,0.01,0.03,0.01,0.03,0.02,0.18
Tmax150,tau50,Iter6,0.01,0.01,0.01,0.02,0.13,0.06,0.01,0.07,0.01,0.13,0.08,0.15,0.01,0.01,0.01,0.01,0.08,0.05,0.01,0.03,0.01,0.04,0.10,0.14
Tmax150,tau50,Iter7,0.08,0.07,0.00,0.02,0.06,0.18,0.16,0.10,0.01,0.05,0.08,0.34,0.05,0.09,0.00,0.02,0.04,0.11,0.03,0.12,0.01,0.05,0.05,0.36
Tmax150,tau50,Iter8,0.01,0.15,0.00,0.02,0.15,0.17,0.01,0.13,0.01,0.05,0.07,0.55,0.01,0.07,0.00,0.01,0.03,0.22,0.01,0.09,0.01,0.06,0.03,0.27
Tmax150,tau50,Iter9,0.01,0.01,0.00,0.02,0.17,0.13,0.06,0.07,0.01,0.03,0.12,0.17,0.01,0.01,0.00,0.01,0.15,0.13,0.07,0.04,0.01,0.03,0.11,0.13
Tmax150,tau75,Iter0,0.06,0.32,0.01,0.49,0.05,0.60,0.05,0.58,0.01,0.62,0.03,1.07,0.01,0.37,0.01,0.48,0.03,0.74,0.02,0.38,0.01,0.39,0.04,0.84
Tmax150,tau75,Iter1,0.09,0.16,0.08,0.12,0.03,0.16,0.05,0.09,0.06,0.18,0.10,0.40,0.07,0.05,0.02,0.13,0.02,0.08,0.08,0.08,0.04,0.36,0.15,0.40
Tmax150,tau75,Iter2,0.01,0.01,0.01,0.02,0.17,0.11,0.01,0.04,0.01,0.12,0.06,0.15,0.01,0.01,0.01,0.01,0.06,0.06,0.01,0.02,0.01,0.04,0.18,0.10
